timestamp,open,high,low,close,volume
2024-09-15,0.223,0.231,0.209,0.212,96879962.82
2024-09-16,0.213,0.219,0.206,0.209,103966109.29
2024-09-17,0.21,0.231,0.205,0.227,111701497.39
2024-09-18,0.228,0.243,0.218,0.242,130955037.7
2024-09-19,0.243,0.255,0.24,0.248,93182422.95
2024-09-20,0.249,0.266,0.241,0.26,123195085.04
2024-09-21,0.261,0.29,0.252,0.289,87373618.28
2024-09-22,0.289,0.305,0.261,0.275,114450931.07
2024-09-23,0.275,0.297,0.266,0.281,108558916.44
2024-09-24,0.282,0.3303,0.274,0.3223,197361088.46
2024-09-25,0.3224,0.342,0.3064,0.3131,107385860.4
2024-09-26,0.3131,0.3792,0.3074,0.364,231911756.29
2024-09-27,0.364,0.377,0.3441,0.3596,104912614.22
2024-09-28,0.3596,0.3739,0.3476,0.369,65036366.87
2024-09-29,0.369,0.3988,0.3484,0.3881,116720910.68
2024-09-30,0.3882,0.4224,0.3644,0.3668,183635981.56
2024-10-01,0.3668,0.3968,0.3402,0.3542,189997886.15
2024-10-02,0.3541,0.3833,0.3195,0.3205,154807298.42
2024-10-03,0.3204,0.3337,0.273,0.2794,198491212.99
2024-10-04,0.2795,0.3217,0.2779,0.3096,126837149.64
2024-10-05,0.3096,0.3219,0.2742,0.2863,80900717.85
2024-10-06,0.2863,0.3026,0.2826,0.2946,81373776.98
2024-10-07,0.2945,0.3138,0.2827,0.2841,154257580.51
2024-10-08,0.2842,0.2911,0.2685,0.2826,116241521.08
2024-10-09,0.2826,0.2896,0.2645,0.2671,99030941.66
2024-10-10,0.2671,0.2819,0.2559,0.2708,120301280.78
2024-10-11,0.2708,0.3466,0.2683,0.3431,278950567.33
2024-10-12,0.3432,0.3488,0.3231,0.3294,136042987.25
2024-10-13,0.3294,0.3688,0.323,0.357,214193463.9
2024-10-14,0.3571,0.435,0.3471,0.4098,290007592.19
2024-10-15,0.4099,0.4638,0.4013,0.4284,333865452.72
2024-10-16,0.4284,0.4504,0.3823,0.3978,239493020.03
2024-10-17,0.3979,0.41,0.3735,0.3758,161876206.33
2024-10-18,0.3758,0.4409,0.3649,0.4136,190086322.39
2024-10-19,0.4135,0.4224,0.3931,0.4014,95790710.29
2024-10-20,0.4015,0.4065,0.3869,0.3989,27398878.11
